draw_no,draw_date,winning_number,digit1,digit2,digit3,digit4,straight_payout,box_payout,set_straight_payout,set_box_payout
336,1998-01-07,6557,6,5,5,7,1151100,95900,623500,47900
337,1998-01-09,5009,5,0,0,9,878300,73100,475700,36500
338,1998-01-12,5560,5,5,6,0,636400,53000,344700,26500
339,1998-01-14,6989,6,9,8,9,1322600,110200,716400,55100
340,1998-01-16,1574,1,5,7,4,1036400,43100,539700,21500
341,1998-01-19,3878,3,8,7,8,1119700,93300,606500,46600
342,1998-01-21,9295,9,2,9,5,1374800,114500,744600,57200
343,1998-01-23,3748,3,7,4,8,992200,41300,516700,20600
344,1998-01-26,2789,2,7,8,9,943700,39300,491500,19600
345,1998-01-28,9860,9,8,6,0,1245700,51900,648800,25900
346,1998-01-30,4483,4,4,8,3,1232000,102600,667300,51300
347,1998-02-02,6603,6,6,0,3,941200,78400,509800,39200
348,1998-02-04,3531,3,5,3,1,740300,61600,400900,30800
349,1998-02-06,6110,6,1,1,0,845100,70400,457700,35200
350,1998-02-09,4652,4,6,5,2,868900,36200,452500,18100
351,1998-02-11,0609,0,6,0,9,942000,78500,510200,39200
352,1998-02-13,2134,2,1,3,4,955200,39800,497500,19900
353,1998-02-16,8586,8,5,8,6,1048600,87300,567900,43600
354,1998-02-18,6499,6,4,9,9,1125600,93800,609700,46900
355,1998-02-20,1348,1,3,4,8,989100,41200,515100,20600
356,1998-02-23,5075,5,0,7,5,652300,54300,353300,27100
357,1998-02-25,6876,6,8,7,6,1110500,92500,601500,46200
358,1998-02-27,1426,1,4,2,6,850400,35400,442900,17700
359,1998-03-02,9072,9,0,7,2,813900,33900,423900,16900
360,1998-03-04,5574,5,5,7,4,577200,48100,312600,24000
361,1998-03-06,3702,3,7,0,2,1064600,44300,554400,22100
362,1998-03-09,6312,6,3,1,2,670700,27900,349300,13900
363,1998-03-11,0242,0,2,4,2,1273200,106100,689600,53000
364,1998-03-13,3686,3,6,8,6,949300,79100,514200,39500
365,1998-03-16,6228,6,2,2,8,1107700,92300,600000,46100
366,1998-03-18,6907,6,9,0,7,964000,40100,502000,20000
367,1998-03-20,4980,4,9,8,0,1029700,42900,536300,21400
368,1998-03-23,8573,8,5,7,3,840800,35000,437900,17500
369,1998-03-25,1059,1,0,5,9,704300,29300,366800,14600
370,1998-03-27,0129,0,1,2,9,464900,19300,242100,9600
371,1998-03-30,6228,6,2,2,8,936400,78000,507200,39000
372,1998-04-01,6526,6,5,2,6,800000,66600,433300,33300
373,1998-04-03,8134,8,1,3,4,1037400,43200,540300,21600
374,1998-04-06,5111,5,1,1,1,1240200,310000,775100,155000
375,1998-04-08,1128,1,1,2,8,258700,21500,140100,10700
376,1998-04-10,5022,5,0,2,2,786600,65500,426000,32700
377,1998-04-13,4204,4,2,0,4,1045200,87100,566100,43500
378,1998-04-15,1893,1,8,9,3,1197700,49900,623800,24900
379,1998-04-17,1620,1,6,2,0,1057400,44000,550700,22000
380,1998-04-20,0941,0,9,4,1,924000,38500,481200,19200
381,1998-04-22,0256,0,2,5,6,1024000,42600,533300,21300
382,1998-04-24,3430,3,4,3,0,1108500,92300,600400,46100
383,1998-04-27,2042,2,0,4,2,487600,40600,264100,20300
384,1998-04-29,8433,8,4,3,3,1409700,117400,763500,58700
385,1998-05-01,0034,0,0,3,4,907500,75600,491500,37800
386,1998-05-04,6560,6,5,6,0,898400,74800,486600,37400
387,1998-05-06,8301,8,3,0,1,983100,40900,512000,20400
388,1998-05-08,0154,0,1,5,4,999100,41600,520300,20800
389,1998-05-11,5201,5,2,0,1,657200,27300,342200,13600
390,1998-05-13,0307,0,3,0,7,840100,70000,455000,35000
391,1998-05-15,8369,8,3,6,9,1332700,55500,694100,27700
392,1998-05-18,3779,3,7,7,9,952600,79300,515900,39600
393,1998-05-20,2957,2,9,5,7,827400,34400,430900,17200
394,1998-05-22,9626,9,6,2,6,1115000,92900,603900,46400
395,1998-05-25,3829,3,8,2,9,694900,28900,361900,14400
396,1998-05-27,2002,2,0,0,2,950400,158400,554400,79200
397,1998-05-29,9348,9,3,4,8,1329000,55300,692100,27600
398,1998-06-01,7143,7,1,4,3,1035000,43100,539000,21500
399,1998-06-03,0884,0,8,8,4,1149500,95700,622600,47800
400,1998-06-05,6980,6,9,8,0,888300,37000,462600,18500
401,1998-06-08,2997,2,9,9,7,956400,79700,518000,39800
402,1998-06-10,9570,9,5,7,0,1044600,43500,544000,21700
403,1998-06-12,6739,6,7,3,9,1104500,46000,575200,23000
404,1998-06-15,9332,9,3,3,2,1132000,94300,613100,47100
405,1998-06-17,3337,3,3,3,7,976700,244100,610400,122000
406,1998-06-19,9698,9,6,9,8,1440000,120000,780000,60000
407,1998-06-22,6700,6,7,0,0,1830600,152500,991500,76200
408,1998-06-24,9477,9,4,7,7,1128800,94000,611400,47000
409,1998-06-26,0422,0,4,2,2,449900,37400,243600,18700
410,1998-06-29,5352,5,3,5,2,1071500,89200,580300,44600
411,1998-07-01,6891,6,8,9,1,1247100,51900,649500,25900
412,1998-07-03,9995,9,9,9,5,1833300,458300,1145800,229100
413,1998-07-06,3786,3,7,8,6,953100,39700,496400,19800
414,1998-07-08,2154,2,1,5,4,903100,37600,470300,18800
415,1998-07-10,3354,3,3,5,4,1030700,85800,558200,42900
416,1998-07-13,4123,4,1,2,3,729900,30400,380100,15200
417,1998-07-15,8840,8,8,4,0,1108900,92400,600600,46200
418,1998-07-17,4637,4,6,3,7,1114700,46400,580500,23200
419,1998-07-20,9002,9,0,0,2,913200,76100,494600,38000
